KOD_ZSJ_P;hour;day;users
10081;23;weekend;1417
10090;6;workday;923
10090;7;workday;1063
10090;8;workday;1218
10090;9;workday;1367
10090;10;workday;1456
10090;11;workday;1383
10090;12;workday;1292
10090;13;workday;1202
10090;14;workday;1224
10090;15;workday;1060
10090;16;workday;1031
10090;17;workday;966
10090;18;workday;941
10090;19;workday;904
10090;20;workday;857
10090;21;workday;845
10090;22;workday;835
10090;23;workday;821
10090;6;weekend;671
10090;7;weekend;717
10090;8;weekend;919
10090;9;weekend;1282
10090;10;weekend;1580
10090;11;weekend;1635
10090;12;weekend;1443
10090;13;weekend;1199
10090;14;weekend;1074
10090;15;weekend;943
10090;16;weekend;830
10090;17;weekend;680
10090;18;weekend;644
10090;19;weekend;628
10090;20;weekend;652
10090;21;weekend;675
10090;22;weekend;678
10090;23;weekend;684
10103;6;workday;3553
10103;7;workday;4046
10103;8;workday;4278
10103;9;workday;4370
10103;10;workday;4419
10103;11;workday;4142
10103;12;workday;4021
10103;13;workday;3784
10103;14;workday;3802
10103;15;workday;3590
10103;16;workday;3725
10103;17;workday;3493
10103;18;workday;3499
10103;19;workday;3509
10103;20;workday;3526
10103;21;workday;3409
10103;22;workday;3341
10103;23;workday;3246
10103;6;weekend;2871
10103;7;weekend;2964
10103;8;weekend;3017
10103;9;weekend;3036
10103;10;weekend;3151
10103;11;weekend;2955
10103;12;weekend;2963
10103;13;weekend;2923
10103;14;weekend;2892
10103;15;weekend;2722
10103;16;weekend;2748
10103;17;weekend;2748
10103;18;weekend;2763
10103;19;weekend;2758
10103;20;weekend;2741
10103;21;weekend;2750
10103;22;weekend;2765
10103;23;weekend;2695
10111;6;workday;2214
10111;7;workday;2488
10111;8;workday;2555
10111;9;workday;2545
10111;10;workday;2606
10111;11;workday;2427
10111;12;workday;2277
10111;13;workday;2174
10111;14;workday;2194
10111;15;workday;2069
10111;16;workday;2096
10111;17;workday;2018
10111;18;workday;2126
10111;19;workday;2114
10111;20;workday;2063
10111;21;workday;2025
10111;22;workday;2019
10111;23;workday;1968
10111;6;weekend;1857
10111;7;weekend;1883
10111;8;weekend;1911
10111;9;weekend;1927
10111;10;weekend;1989
10111;11;weekend;1834
10111;12;weekend;1832
10111;13;weekend;1714
10111;14;weekend;1670
10111;15;weekend;1670
10111;16;weekend;1626
10111;17;weekend;1670
10111;18;weekend;1602
10111;19;weekend;1644
10111;20;weekend;1574
10111;21;weekend;1590
10111;22;weekend;1616
10111;23;weekend;1579
10120;6;workday;1955
10120;7;workday;2726
10120;8;workday;3246
10120;9;workday;3393
10120;10;workday;3469
10120;11;workday;3238
10120;12;workday;3007
10120;13;workday;2925
10120;14;workday;2983
10120;15;workday;3171
10120;16;workday;3031
10120;17;workday;2776
10120;18;workday;2298
10120;19;workday;1921
10120;20;workday;1614
10120;21;workday;1477
10120;22;workday;1400
10120;23;workday;1357
10120;6;weekend;1341
10120;7;weekend;1433
10120;8;weekend;1563
10120;9;weekend;1708
10120;10;weekend;1742
10120;11;weekend;1703
10120;12;weekend;1651
10120;13;weekend;1640
10120;14;weekend;1681
10120;15;weekend;1761
10120;16;weekend;1703
10120;17;weekend;1666
10120;18;weekend;1637
10120;19;weekend;1544
10120;20;weekend;1331
10120;21;weekend;1272
10120;22;weekend;1232
10120;23;weekend;1192
10138;6;workday;92
10138;7;workday;93
10138;8;workday;96
10138;9;workday;94
10138;10;workday;97
10138;11;workday;94
10138;12;workday;88
10138;13;workday;82
10138;14;workday;78
10138;15;workday;71
10138;16;workday;72
10138;17;workday;74
10138;18;workday;77
10138;19;workday;82
10138;20;workday;85
10138;21;workday;84
10138;22;workday;83
10138;23;workday;84
10138;6;weekend;72
10138;7;weekend;66
10138;8;weekend;68
10138;9;weekend;71
10138;10;weekend;71
10138;11;weekend;67
10138;12;weekend;65
10138;13;weekend;64
10138;14;weekend;61
10138;15;weekend;63
10138;16;weekend;64
10138;17;weekend;63
10138;18;weekend;62
10138;19;weekend;64
10138;20;weekend;62
10138;21;weekend;62
10138;22;weekend;64
10138;23;weekend;63
10146;6;workday;4021
10146;7;workday;4526
10146;8;workday;5116
10146;9;workday;5195
10146;10;workday;5285
10146;11;workday;5071
10146;12;workday;4717
10146;13;workday;4544
10146;14;workday;4340
10146;15;workday;4164
10146;16;workday;4272
10146;17;workday;4230
10146;18;workday;4061
10146;19;workday;4042
10146;20;workday;3904
10146;21;workday;3742
10146;22;workday;3597
10146;23;workday;3536
10146;6;weekend;3140
10146;7;weekend;3108
10146;8;weekend;3209
10146;9;weekend;3348
10146;10;weekend;3394
10146;11;weekend;3290
10146;12;weekend;3147
10146;13;weekend;3116
10146;14;weekend;3065
10146;15;weekend;3100
10146;16;weekend;3061
10146;17;weekend;3014
10146;18;weekend;3024
10146;19;weekend;2970
10146;20;weekend;2902
10146;21;weekend;2903
10146;22;weekend;2856
10146;23;weekend;2766
10154;6;workday;4307
10154;7;workday;5987
10154;8;workday;7379
10154;9;workday;8225
10154;10;workday;8593
10154;11;workday;8280
10154;12;workday;7998
10154;13;workday;7941
10154;14;workday;7798
10154;15;workday;7954
10154;16;workday;7983
10154;17;workday;6903
10154;18;workday;5536
10154;19;workday;4765
10154;20;workday;4189
10154;21;workday;3692
10154;22;workday;3322
10154;23;workday;3077
10154;6;weekend;2855
10154;7;weekend;3050
10154;8;weekend;3515
10154;9;weekend;3875
10154;10;weekend;4107
10154;11;weekend;4441
10154;12;weekend;4164
10154;13;weekend;4103
10154;14;weekend;4104
10154;15;weekend;4179
10154;16;weekend;3960
10154;17;weekend;3949
10154;18;weekend;3852
10154;19;weekend;3605
10154;20;weekend;3065
10154;21;weekend;2825
10154;22;weekend;2613
10154;23;weekend;2525
10162;6;workday;255
10162;7;workday;485
10162;8;workday;627
10162;9;workday;767
10162;10;workday;836
10162;11;workday;742
10162;12;workday;690
10162;13;workday;727
10162;14;workday;702
10162;15;workday;641
10162;16;workday;556
10162;17;workday;360
10162;18;workday;194
10162;19;workday;149
10162;20;workday;128
10162;21;workday;115
10162;22;workday;108
10162;23;workday;89
10162;6;weekend;83
10162;7;weekend;104
10162;8;weekend;100
10162;9;weekend;123
10162;10;weekend;116
10162;11;weekend;118
10162;12;weekend;116
10162;13;weekend;109
10162;14;weekend;119
10162;15;weekend;115
10162;16;weekend;128
10162;17;weekend;154
10162;18;weekend;128
10162;19;weekend;95
10162;20;weekend;82
10162;21;weekend;69
10162;22;weekend;59
10162;23;weekend;66
10171;6;workday;321
10171;7;workday;521
10171;8;workday;822
10171;9;workday;965
10171;10;workday;1022
10171;11;workday;966
10171;12;workday;892
10171;13;workday;894
10171;14;workday;852
10171;15;workday;784
10171;16;workday;705
10171;17;workday;504
10171;18;workday;352
10171;19;workday;271
10171;20;workday;229
10171;21;workday;193
10171;22;workday;174
10171;23;workday;150
10171;6;weekend;189
10171;7;weekend;203
10171;8;weekend;229
10171;9;weekend;247
10171;10;weekend;265
10171;11;weekend;260
10171;12;weekend;266
10171;13;weekend;249
10171;14;weekend;250
10171;15;weekend;235
10171;16;weekend;220
10171;17;weekend;217
10171;18;weekend;202
10171;19;weekend;212
10171;20;weekend;187
10171;21;weekend;175
10171;22;weekend;167
10171;23;weekend;164
10189;6;workday;25
10189;7;workday;37
10189;8;workday;84
10189;9;workday;88
10189;10;workday;91
10189;11;workday;102
